Afrikaans af
Arabic ar
Bulgarian bg
Bengali bn
Catalan ca
Czech cs
Welsh cy
Danish da
German de
Greek el
English en
Spanish es
Estonian et
Finnish fi
French fr
Gujarati gu
Hebrew he
Hindi hi
Croatian hr
Hungarian hu
Indonesian id
Italian it
Japanese ja
Kannada kn
Korean ko
Lithuanian lt
Macedonian mk
Malayalam ml
Marathi mr
Dutch nl
Punjabi pa
Polish pl
Portuguese pt
Romanian ro
Russian ru
Slovak sk
Slovenian sl
Somali so
Albanian sq
Swedish sv
Tamil ta
Telugu te
Thai th
Tagalog tl
Turkish tr
Ukrainian uk
Urdu ur
Vietnamese vi
Chinese zh
Malaysian ms
Norwegian no
Chinese(Traditional) zh-HK
Serbian sr
Myanmar my
Khmer km
Persian fa
Latvian lv
Filipino tl
Chinese(Traditional) zh-hk
