Gene,label
ENSG00000001167,6
ENSG00000001630,11
ENSG00000002330,0
ENSG00000003756,6
ENSG00000004478,7;6
ENSG00000004487,6
ENSG00000004700,6
ENSG00000004897,6
ENSG00000004961,0
ENSG00000004975,10;6
ENSG00000005339,10;6
ENSG00000005486,12
ENSG00000005812,10
ENSG00000006453,7;5
ENSG00000006611,7
ENSG00000006744,6
ENSG00000006747,5
ENSG00000007080,7;5
ENSG00000007168,18
ENSG00000007372,6
ENSG00000008086,6
ENSG00000008294,7;14
ENSG00000008311,0;9
ENSG00000009307,7
ENSG00000010030,6
ENSG00000010219,9
ENSG00000010244,1
ENSG00000010810,7;5
ENSG00000011295,0
ENSG00000011426,6
ENSG00000011451,6
ENSG00000011454,7
ENSG00000012061,6
ENSG00000012660,11
ENSG00000012822,7
ENSG00000013364,7
ENSG00000013374,8;1
ENSG00000013588,5;9
ENSG00000013810,25
ENSG00000016082,6
ENSG00000018408,7;6
ENSG00000018510,17
ENSG00000020426,6
ENSG00000020922,6
ENSG00000021762,9
ENSG00000021776,6
ENSG00000023191,7
ENSG00000023330,0
ENSG00000023572,6
ENSG00000023734,7
ENSG00000023892,6
ENSG00000025770,6
ENSG00000025772,7
ENSG00000026508,12;5
ENSG00000027001,0
ENSG00000028277,6;9
ENSG00000028528,19
ENSG00000028839,6
ENSG00000029153,8;1
ENSG00000029363,4
ENSG00000029725,9
ENSG00000030582,11;19;2
ENSG00000031691,6
ENSG00000031698,7
ENSG00000031823,6
ENSG00000033030,6
ENSG00000033170,7;12
ENSG00000033178,7;6
ENSG00000035403,16
ENSG00000035928,1
ENSG00000036054,12
ENSG00000037280,4;5
ENSG00000037897,1
ENSG00000038219,6
ENSG00000038358,26
ENSG00000039319,7;9
ENSG00000040487,9
ENSG00000040633,6
ENSG00000042493,1
ENSG00000043143,6
ENSG00000044115,20;5
ENSG00000046604,20
ENSG00000047410,15
ENSG00000047932,12
ENSG00000048162,8
ENSG00000048649,6
ENSG00000048828,7
ENSG00000049449,11
ENSG00000050405,13;7;16;5
ENSG00000051180,8
ENSG00000051596,6
ENSG00000053747,11
ENSG00000054118,4
ENSG00000054282,18
ENSG00000054654,15
ENSG00000055044,22
ENSG00000055332,7
ENSG00000055483,4;8
ENSG00000055917,7
ENSG00000057252,11
ENSG00000057294,20
ENSG00000058272,13;7
ENSG00000058600,6
ENSG00000059573,0
ENSG00000060762,0
ENSG00000060971,17
ENSG00000062485,0
ENSG00000063046,7
ENSG00000063177,7;11
ENSG00000063244,4
ENSG00000063245,7
ENSG00000064419,9
ENSG00000064490,6
ENSG00000064601,9
ENSG00000064607,6
ENSG00000064961,6
ENSG00000065526,6
ENSG00000065534,13
ENSG00000065548,7
ENSG00000065675,14
ENSG00000065978,7
ENSG00000066422,6
ENSG00000066777,7;12;6
ENSG00000067225,7
ENSG00000067334,8
ENSG00000067369,10
ENSG00000067704,0
ENSG00000067829,0
ENSG00000068394,6
ENSG00000068650,9
ENSG00000068796,18;8;1
ENSG00000069956,7
ENSG00000070010,11
ENSG00000070081,12
ENSG00000070444,6
ENSG00000070669,7
ENSG00000070759,6
ENSG00000070814,22
ENSG00000070831,24;21
ENSG00000070950,10;6
ENSG00000071564,6
ENSG00000071626,7;6
ENSG00000071794,1
ENSG00000071859,6
ENSG00000071894,6
ENSG00000072501,6
ENSG00000072571,18;7;21
ENSG00000072682,11
ENSG00000072756,0
ENSG00000073050,6
ENSG00000073282,6
ENSG00000073578,0
ENSG00000073792,7
ENSG00000074219,6
ENSG00000074696,11
ENSG00000074800,7;5
ENSG00000075239,0
ENSG00000075292,6
ENSG00000075426,1
ENSG00000075702,7
ENSG00000076003,6
ENSG00000076053,6
ENSG00000076108,4
ENSG00000076242,6
ENSG00000076706,5
ENSG00000076928,7
ENSG00000076944,7
ENSG00000077009,6;9
ENSG00000077092,6
ENSG00000077097,1
ENSG00000077312,6
ENSG00000077348,8
ENSG00000077420,7;5
ENSG00000077498,9
ENSG00000077549,7;6;9
ENSG00000078070,0
ENSG00000078081,9
ENSG00000078237,7
ENSG00000078674,18
ENSG00000078808,12
ENSG00000079134,4
ENSG00000079246,6
ENSG00000079308,16
ENSG00000079387,16;1
ENSG00000079739,13
ENSG00000079785,7;6
ENSG00000079819,5
ENSG00000079950,2
ENSG00000080224,6
ENSG00000080819,0
ENSG00000080839,6
ENSG00000081059,6
ENSG00000081277,6
ENSG00000081307,7
ENSG00000082014,6
ENSG00000082212,0
ENSG00000082397,5
ENSG00000082516,7
ENSG00000082701,1
ENSG00000082898,7;15;6;9
ENSG00000083544,7;6
ENSG00000083635,8;1
ENSG00000083642,6
ENSG00000083720,0
ENSG00000084463,6
ENSG00000084676,7;6;5
ENSG00000084754,0
ENSG00000085377,7
ENSG00000085491,0
ENSG00000085760,0
ENSG00000085832,7;9
